Motions with difficulty > 2.0 (Rank 0):
Total high difficulty motions: 841
Motion: CMU_91_91_50_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_51_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_53_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_58_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_60_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_05_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_12_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20120805_VasoAristeidou_Vasso_Aristidou_Hasapiko_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20120807_CliodelaVara_Clio_Flamenco_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20120807_VasoAristeidou_Vasso_Bachata_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20130216_AnnaCharalambous_Anna_Happy_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20130216_AnnaCharalambous_Anna_Nervous_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20130216_AnnaCharalambous_Anna_Sad_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20130216_AnnaCharalambous_Anna_Scary_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Annoyed_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Excited_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Happy_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Pleased_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Relaxed_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Satisfied_C3D_stageii.pkl, Difficulty: 10.00
