Motions with difficulty > 2.0 (Rank 0):
Total high difficulty motions: 1541
Motion: CMU_139_139_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_139_139_15_stageii.pkl, Difficulty: 10.00
Motion: CMU_139_139_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_139_139_17_stageii.pkl, Difficulty: 10.00
Motion: CMU_140_140_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_140_140_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_141_141_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_141_141_21_stageii.pkl, Difficulty: 10.00
Motion: CMU_141_141_29_stageii.pkl, Difficulty: 10.00
Motion: CMU_142_142_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_30_30_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_36_36_22_stageii.pkl, Difficulty: 10.00
Motion: CMU_36_36_26_stageii.pkl, Difficulty: 10.00
Motion: CMU_40_40_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_40_40_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_40_40_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_40_40_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_41_41_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_41_41_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_41_41_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_10_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_49_49_12_stageii.pkl, Difficulty: 10.00
Motion: CMU_54_54_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_55_55_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_55_55_26_stageii.pkl, Difficulty: 10.00
Motion: CMU_63_63_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_63_63_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_64_64_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_64_64_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_74_74_17_stageii.pkl, Difficulty: 10.00
Motion: CMU_77_77_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_77_77_15_stageii.pkl, Difficulty: 10.00
Motion: CMU_77_77_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_77_77_17_stageii.pkl, Difficulty: 10.00
Motion: CMU_78_78_29_stageii.pkl, Difficulty: 10.00
Motion: CMU_78_78_31_stageii.pkl, Difficulty: 10.00
Motion: CMU_79_79_22_stageii.pkl, Difficulty: 10.00
Motion: CMU_82_82_05_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_30_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_31_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_32_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_34_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_35_stageii.pkl, Difficulty: 10.00
Motion: CMU_83_83_65_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_84_84_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_85_85_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_85_85_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_86_86_05_stageii.pkl, Difficulty: 10.00
Motion: CMU_86_86_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_86_86_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_86_86_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_88_88_07_stageii.pkl, Difficulty: 10.00
Motion: CMU_88_88_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_88_88_10_stageii.pkl, Difficulty: 10.00
Motion: CMU_89_89_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_02_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_14_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_19_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_33_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_35_stageii.pkl, Difficulty: 10.00
Motion: CMU_90_90_36_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_11_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_16_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_18_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_19_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_20_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_22_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_23_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_26_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_27_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_28_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_29_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_36_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_37_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_39_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_41_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_44_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_47_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_50_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_51_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_53_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_58_stageii.pkl, Difficulty: 10.00
Motion: CMU_91_91_60_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_01_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_03_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_04_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_05_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_06_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_08_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_09_stageii.pkl, Difficulty: 10.00
Motion: CMU_94_94_12_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20120731_StefanosTheodorou_Stefanos_1os_antrikos_karsilamas_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20120731_StefanosTheodorou_Stefanos_3os_antrikos_karsilamas_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20120805_VasoAristeidou_Vasso_Aristidou_Hasapiko_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20120807_VasoAristeidou_Vasso_Bachata_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20130216_AnnaCharalambous_Anna_Happy_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20130216_AnnaCharalambous_Anna_Nervous_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20130216_AnnaCharalambous_Anna_Sad_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20130216_AnnaCharalambous_Anna_Scary_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Annoyed_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Excited_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Happy_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Pleased_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Relaxed_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Satisfied_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_OliviaKyriakides_Olivia_Tired_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_SophieKamenou_Sophie_Afraid_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_SophieKamenou_Sophie_Excited_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_TheodoraTsiakka_Theodora_Bored_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_TheodoraTsiakka_Theodora_Excited_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_TheodoraTsiakka_Theodora_Happy_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_TheodoraTsiakka_Theodora_Pleased_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_VasoAristeidou_Vasso_Angry_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_VasoAristeidou_Vasso_Happy_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20131001_VasoAristeidou_Vasso_Satisfied_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20140121_FanieAlexandrou_Fanie_MusicalTheater_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20140121_FanieAlexandrou_Fanie_Zumba_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20140526_StephanosKoullapis_StefanosKoullapis_Bachata_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20140805_NikosMichael_Nikos_Zeibekiko_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20140805_NikosMichael_Nikos_Zeibekiko_v2_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20141230_MaritsaElia_Maritsa_Excited_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20141230_MaritsaElia_Maritsa_Happy_C3D_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20150927_VasoAristeidou_Vasso_Angry_v1_01_stageii.pkl, Difficulty: 10.00
Motion: DanceDB_20150927_VasoAristeidou_Vasso_Happy_v1_01_stageii.pkl, Difficulty: 10.00
